t,kalman_gain
1460,0.0700423
1461,0.07444752
1462,0.1121702
1463,0.1418263
1464,0.08024751
1465,0.07933256
1466,0.06801618
1467,0.0709089
1468,0.06696959
1469,0.05425898
1470,0.07201419
1471,0.07801159
1472,0.1169783
1473,0.164628
1474,0.0785846
1475,0.07920393
1476,0.06655574
1477,0.0696993
1478,0.06514203
1479,0.05655541
1480,0.07789471
1481,0.08372564
1482,0.1303523
1483,0.138699
1484,0.0740282
1485,0.07704327
1486,0.06405985
1487,0.06564459
1488,0.06282294
1489,0.0578363
1490,0.07868161
1491,0.08389942
1492,0.1370511
1493,0.1324152
1494,0.07188041
1495,0.07597
1496,0.0606159
1497,0.06022215
1498,0.05786324
1499,0.06026418
1500,0.0837063
1501,0.0891976
1502,0.150718
1503,0.1325323
1504,0.06757294
1505,0.07233644
1506,0.05836064
1507,0.05797743
1508,0.0557541
1509,0.05965845
1510,0.08371271
1511,0.09030833
1512,0.1515616
1513,0.1200651
1514,0.06478168
1515,0.07015809
1516,0.05811815
1517,0.05866235
1518,0.05606201
1519,0.05965284
1520,0.08612555
1521,0.09494422
1522,0.1472287
1523,0.1138931
1524,0.07092879
1525,0.07752073
1526,0.06309824
1527,0.06110069
1528,0.05850172
1529,0.0615948
1530,0.08700326
1531,0.09854285
1532,0.1497781
1533,0.1070755
1534,0.06490562
1535,0.07122146
1536,0.06047963
1537,0.06068282
1538,0.05811019
1539,0.0602412
1540,0.08654004
1541,0.1011223
1542,0.1375337
1543,0.1016188
1544,0.06397655
1545,0.07033701
1546,0.05929093
1547,0.06003947
1548,0.05771669
1549,0.06597704
1550,0.09294725
1551,0.1088566
1552,0.134709
1553,0.09895412
1554,0.06890083
1555,0.07612647
1556,0.0640922
1557,0.06269842
1558,0.05995451
1559,0.06568215
1560,0.09346254
1561,0.1134828
1562,0.1396904
1563,0.0952818
1564,0.06846374
1565,0.07598311
1566,0.06347268
1567,0.06198402
1568,0.05922542
1569,0.06730657
1570,0.09480792
1571,0.1180636
1572,0.1147321
1573,0.08828607
1574,0.068769
1575,0.07625374
1576,0.06552731
1577,0.06296475
1578,0.06027006
1579,0.0656627
1580,0.09485026
1581,0.1228404
1582,0.1133032
1583,0.09704974
1584,0.08130623
1585,0.08738184
